"Player","Team","REC","YDS","TDS","FL","FPTS"
"Tyler Davis","GB","2.0","19.9","0.2","0.0","3.0"
"Jody Fortson Jr.","MIA","2.1","19.7","0.2","0.0","3.0"
"Tommy Hudson","NO","2.0","19.5","0.2","0.0","3.0"
"Julian Hill","MIA","2.1","19.1","0.2","0.0","2.9"
"Brady Russell","SEA","2.0","19.0","0.2","0.0","2.9"
"Zack Kuntz","NYJ","1.9","17.8","0.2","0.0","2.8"
"Eric Tomlinson","IND","1.8","17.7","0.2","0.0","2.8"
"Rodney Williams","PIT","1.7","15.8","0.2","0.0","2.6"
"Zach Gentry","LV","1.8","15.8","0.2","0.0","2.6"
"Nate Adkins","DEN","1.8","15.8","0.2","0.0","2.5"
"Chris Manhertz","NYG","1.9","16.7","0.1","0.0","2.4"
"Mitchell Wilcox","NE","1.8","17.5","0.1","0.0","2.1"
"Anthony Firkser","NYJ","0.2","2.1","0.0","0.0","0.3"
""
""
